,,shift,3.894646498,TCTemp3
0,19.05158506,19.79947373,19.0053535,22.9
0.137,19.00383006,19.83217116,19.45950596,23.35415245
0.215,19.04928395,19.95254429,19.78141233,23.67605882
0.315,19.05519039,20.15501076,20.15543426,24.05008076
0.416,18.94570916,20.18082042,20.32199477,24.21664127
0.515,18.99844073,20.01896414,19.32257899,23.21722549
0.615,19.04707443,19.88427203,19.38872527,23.28337177
0.715,18.9893761,19.69576742,20.7740034,24.66864989
0.816,18.99671534,19.93589811,19.95520135,23.84984785
0.915,19.00853286,20.18904324,19.86855967,23.76320617
1.015,18.99163501,20.03761181,20.60826296,24.50290946
1.107,18.97026456,19.77400587,20.61445786,24.50910436
1.208,18.9581215,19.7242336,20.17935983,24.07400633
1.307,18.98602781,19.6815635,19.82851946,23.72316596
1.406,18.9743531,20.02170989,20.34112234,24.23576883
1.508,18.96507214,20.31678561,20.23021845,24.12486494
1.607,18.99651696,19.8908583,19.9182207,23.8128672
1.707,18.94232718,19.898566,20.1955064,24.0901529
1.808,18.93037096,20.13708916,19.77586344,23.67050994
1.907,18.95227906,20.17442774,19.29468956,23.18933605
2.007,18.93882655,20.00433168,20.29176901,24.1864155
2.106,18.96101523,19.90321563,20.99968285,24.89432935
2.207,18.95575944,20.06918745,20.70191955,24.59656605
2.307,18.94715986,20.04414467,20.49940662,24.39405312
2.407,18.89269182,19.96448375,19.76528658,23.65993308
2.506,18.9416868,20.07203727,19.67889538,23.57354188
2.608,18.95270329,20.04930944,21.54091437,25.43556087
2.707,18.96447477,19.97535773,20.90188108,24.79652758
2.807,18.95589842,20.08614641,19.63932974,23.53397624
2.906,18.89885619,19.99483151,19.65872908,23.55337558
3.008,18.93876264,19.81630564,19.69559317,23.59023966
3.138,18.91723326,20.15538147,20.51928624,24.41393274
3.207,18.90121055,20.17593216,20.34058994,24.23523644
3.308,18.93247837,20.01706891,20.05596643,23.95061293
3.408,18.92131991,20.15426404,20.26171972,24.15636622
3.506,18.89858134,19.82481007,19.81850609,23.71315259
3.607,18.92750994,20.05337951,20.43649468,24.33114117
3.708,18.90740735,20.07276618,20.56151764,24.45616414
3.808,18.90969013,20.02734948,19.54917623,23.44382273
3.906,18.91281102,20.26243975,19.92037268,23.81501918
4.006,18.88199277,19.92061948,20.03557357,23.93022007
4.107,18.87362192,19.85493744,19.58323932,23.47788582
4.208,18.9156185,20.0846298,20.40287228,24.29751878
4.306,18.92588072,20.07520907,20.93765241,24.83229891
4.407,18.90082917,20.06898196,20.22076419,24.11541068
4.508,18.93170829,20.06496594,20.90897381,24.80362031
4.606,18.91119894,19.96337999,20.95751245,24.85215895
4.707,18.90644644,20.04677606,19.96224212,23.85688862
4.84,18.91181686,20.05735085,19.77491758,23.66956408
4.994,18.92721205,19.8460685,20.51197045,24.40661695
5.024,18.93876212,20.13874704,20.99449367,24.88914017
5.117,18.91865472,20.19588864,20.06387509,23.95852159
5.217,18.91454846,19.90341034,19.15815798,23.05280448
5.308,18.93659055,20.09007442,19.77392123,23.66856773
5.406,18.93469828,20.22405221,20.10858014,24.00322663
5.507,18.92956172,20.22616859,20.3904885,24.285135
5.608,18.92857759,20.18779197,20.64112017,24.53576667
5.707,18.88543809,20.04594011,20.10604849,24.00069499
5.807,18.93533505,19.9613549,20.18152722,24.07617372
5.908,18.96730688,19.8298916,20.94474502,24.83939152
6.011,18.90099044,20.01976375,19.97723837,23.87188487
6.107,18.94125072,20.24743232,19.78273708,23.67738358
6.206,18.95700662,20.02941092,20.6564791,24.5511256
6.307,18.93307899,19.76368605,19.89680511,23.79145161
6.408,18.88008491,19.80791302,19.49497321,23.38961971
6.506,18.93331608,19.86925524,19.85822264,23.75286914
6.607,18.93671862,20.11425566,20.36487836,24.25952486
6.708,18.95963361,20.30283131,20.26446965,24.15911615
6.807,18.91859195,19.83981129,19.79137347,23.68601997
6.907,18.89869485,19.77581586,20.1017227,23.9963692
7.07,18.87788677,20.1182154,19.74620469,23.64085119
7.107,18.88171829,19.93638809,19.24747693,23.14212343
7.207,18.90839771,19.80680705,20.3470671,24.2417136
7.306,18.90100411,19.8527728,21.10923252,25.00387902
7.407,18.87999712,19.99481705,20.33453179,24.22917829
7.508,18.8497407,20.02323457,19.64494232,23.53958882
7.607,18.82831073,19.91441275,19.47287198,23.36751848
7.706,18.84579761,20.0315161,20.02396995,23.91861645
7.807,18.87331947,20.0012425,21.67739578,25.57204228
7.908,18.87518522,19.95112109,21.22519788,25.11984437
8.006,18.85054754,20.04657187,19.78376094,23.67840744
8.107,18.88432078,19.97783143,20.3343682,24.2290147
8.208,18.89181771,19.80227627,20.8419429,24.7365894
8.308,18.87174254,19.96105563,20.81901184,24.71365833
8.406,18.87250833,20.10825481,20.39739981,24.29204631
8.507,18.87481793,20.07790477,20.30837298,24.20301948
8.607,18.91965492,20.22237805,20.57481744,24.46946394
8.708,18.8804015,19.96354292,20.26200459,24.15665109
8.806,18.90813304,19.91621004,20.46074113,24.35538762
8.907,18.90476256,20.382429,20.72047484,24.61512134
9.007,18.9048738,20.48350246,20.24303134,24.13767784
9.106,18.96056983,20.23421663,20.22396158,24.11860807
9.207,18.91574007,19.92021122,20.54931296,24.44395946
9.307,18.91757562,19.97417144,20.49781637,24.39246287
9.407,18.96994638,20.15855333,20.8656652,24.7603117
9.506,18.91536232,20.09388343,21.10251034,24.99715684
9.607,18.93680712,20.09674946,20.28952355,24.18417004
9.708,18.97962082,20.06122693,20.85108582,24.74573232
9.807,18.94150467,19.98184395,20.71052196,24.60516845
9.907,18.92714353,20.03915582,19.10301631,22.99766281
10.006,18.95025785,20.09897854,19.34961497,23.24426147
10.107,18.94461855,20.03362707,20.5609238,24.4555703
10.207,18.88348195,20.13167299,20.86803639,24.76268288
10.306,18.94176201,20.12076547,19.76048895,23.65513545
10.407,18.9573077,19.80229767,19.03532089,22.92996739
10.508,18.93162137,19.98423272,19.7626138,23.6572603
10.606,18.93282884,20.14213274,20.18445744,24.07910394
10.707,18.93706001,19.9091547,20.2381023,24.1327488
10.808,18.92213032,20.01879349,20.53593905,24.43058554
10.908,18.90400341,20.00023244,20.17433218,24.06897867
11.006,18.92318932,19.83512579,19.70639251,23.60103901
11.107,18.89618981,19.80928412,20.1445413,24.0391878
11.207,18.85706181,19.92862351,19.85210381,23.74675031
11.308,18.91373714,20.16049684,19.67168161,23.56632811
11.406,18.89483903,19.89140089,20.88325026,24.77789675
11.507,18.84533495,19.68686734,19.94648053,23.84112702
11.608,18.86049936,19.90640775,19.88839618,23.78304268
11.708,18.86777369,19.86379632,21.17611404,25.07076054
11.806,18.87756612,19.86790184,20.52754339,24.42218988
11.907,18.86198701,20.16976795,20.70481191,24.59945841
12.008,18.84828089,19.86903207,20.18251979,24.07716629
12.107,18.81612404,19.73668288,19.98434989,23.87899639
12.206,18.83747303,20.19756842,20.07843933,23.97308583
12.308,18.82597642,19.95676182,19.36739814,23.26204463
12.407,18.88225218,20.05873343,20.98529901,24.8799455
12.507,18.82784827,20.03077084,21.32153969,25.21618618
12.606,18.85316944,20.05022923,19.70854235,23.60318885
12.707,18.83489479,20.32633997,20.20649265,24.10113915
12.807,18.80994427,19.89658362,20.77504408,24.66969058
12.907,18.83085479,19.95619356,20.73153399,24.62618049
13.008,18.86893164,20.16692844,21.68824221,25.5828887
13.108,18.85593384,19.96841774,21.1814632,25.0761097
